metric,legacy,corrected,difference
มูลค่ารวมที่ใช้ใน network,196520175228.23,170454025199.44998,-26066150028.78003
Capture,1312,1098,-214
Method-lock,570,505,-65
Cross-type,514,512,-2
High-spread,76,76,0
Single-source dependence,69,68,-1
Vendor pool แคบ,27,27,0
Top 10 (%),12.217098308108527,12.851439846027567,0.63434153791904
Top 20 (%),17.465455947598553,18.327761740953477,0.8623057933549241
Top 50 (%),28.907134203404432,30.022158608469816,1.115024405065384
Top 100 (%),39.2783550878504,39.542594557536724,0.2642394696863235
กลุ่มแบ่งซื้อ,918,918,0
สัญญาในกลุ่ม,7109,7109,0
มูลค่ากลุ่มแบ่งซื้อ,5750327461.26,5675981446.11,-74346015.15000057
